Method,ValAccuracy,TrainTime_sec,Image1_InferTime_sec,Image1_String
CNN,0.999437570303712,43.0298009,NaN,7777777777
HOG+SVM,0.996062992125984,2.0924522,0.0129295,HHHHHHHHAH
